Cell,Type,Health,Volume,SurfaceArea,SAV,Filename,PlotSort
TB1_AP37_EM,I,healthy,394.354324277004,783.190126764665,0.503523104799686,TB1_AP37_EM_mp.obj,I
TB1_AP38_EM,I,healthy,407.793248278823,563.570395541798,0.723588839131239,TB1_AP38_EM_mp.obj,I
TB1_AP36_EM,I,healthy,472.175466830979,765.375188112989,0.616920268862013,TB1_AP36_EM_mp.obj,I
TB1_AP34_EM,I,healthy,481.759438892719,NaN,NaN,TB1_AP34_EM_mp.obj,I
TB1_AP16_EM,I,healthy,490.266407687761,737.348370285348,0.664904714576139,TB1_AP16_EM_mp.obj,I
TB1_AP44_EM,I,early,536.174283317487,830.871047204245,0.645315882797496,TB1_AP44_EM_fx.obj,ed
TB2 Nucleus_04_cw_cell-ry,I,healthy,690.635324412474,875.949137745788,0.788442267538261,TB2 Nucleus_04_cw_cell-ry_as.obj,I
TB1_AP70_RSL,I,healthy,866.786035302129,1090.84322186109,0.79460184372169,TB1_AP70_RSL_as.obj,I
TB2_T1C-06_cw,I,healthy,1212.88326059199,1912.25047394804,0.634270079739011,TB2_T1C-06_cw_mp.obj,I
TB2_T1C-05_cw,I,healthy,1633.99670356808,1632.66464788508,1.00081587831569,TB2_T1C-05_cw_mp.obj,I
TB1_T2C11,II,early,717.988280302492,563.37476280123,1.27444168200309,TB1_T2C11_mp.obj,ed
TB2_T2C-12_cw,II,healthy,810.927767647711,932.457056186721,0.869667683103816,TB2_T2C-12_cw_mp.obj,II
TB1_T2C05,II,early,835.15534706582,1231.31638080045,0.678262191657765,TB1_T2C05_as.obj,ed
TB1_T2C06,II,early,878.170290324076,655.725022287817,1.33923559491469,TB1_T2C06_as.obj,ed
TB1_AP14_EM,II,healthy,951.1178924745,915.968116302261,1.03837445381193,TB1_AP14_EM_mp.obj,II
TB2_T2Cell03_CM_LES,II,healthy,988.12718213101,972.811102942366,1.01574414512984,TB2_T2Cell03_CM_LES_mp.obj,II
TB2_T2C-09_cw,II,healthy,1054.02495629771,1155.67836605714,0.912040051328256,TB2_T2C-09_cw_mp.obj,II
TB1_AP51_EM,II,early,1066.8710389809,NaN,NaN,TB1_AP51_EM_mp.obj,ed
TB2_T2C-10_cw,II,healthy,1173.65089672226,1223.12458286099,0.959551392530268,TB2_T2C-10_cw_mp.obj,II
TB3_TC02,II,early,1301.09157704398,1608.43318377655,0.808918635954189,TB3_TC02_mp.obj,ed
TB1_AP43,II,early,1336.08102337616,1103.13093368305,1.21117174995297,TB1_AP43_mp.obj,ed
TB1_AP40_EM,II,early,1398.27191686279,1061.48018387593,1.31728499326016,TB1_AP40_EM_mp.obj,ed
TB2_T2C-03_cw,II,early,1408.90817655901,1287.69491971929,1.09413196789356,TB2_T2C-03_cw_mp.obj,ed
TB2_T2_14,II,healthy,1527.38298448545,1112.8770852717,1.37246332474583,TB2_T2_14_mp.obj,II
TB1_AP13_EM,II,early,1543.45693294558,1162.81372065732,1.32734668118044,TB1_AP13_EM_as.obj,ed
TB3_TC04,II,early,1677.04492465352,1311.4270922154,1.27879386860955,TB3_TC04_mp.obj,ed
TB3_TC05,II,early,1854.52008017622,1394.58498212298,1.32980069622798,TB3_TC05_mp.obj,ed
TB2_T2C-01,II,early,1980.73445389799,1470.50840963212,1.34697254427367,TB2_T2C-01_mp.obj,ed
TB2_T2C-01_FR,II,early,1984.42463380966,1475.05926190745,1.34531858146738,TB2_T2C-01_FR_as.obj,ed
TB2_t3cell02_CM_RSL,III,healthy,524.768981200631,625.290926144792,0.839239719079365,TB2_t3cell02_CM_RSL_as.obj,III
TB1_AP31_EM,III,healthy,560.817328700592,454.220682795195,1.23468029956148,TB1_AP31_EM_mp.obj,III
TB2_T3Cell07_cm_RSL,III,healthy,577.428921933299,631.055169491877,0.915021300591266,TB2_T3Cell07_cm_RSL_mp.obj,III
TB2_T3C-17_cw,III,healthy,616.429416603303,711.271556660275,0.866658325967234,TB2_T3C-17_cw_mp.obj,III
TB2_T3C-08_cw,III,healthy,664.295510088667,695.76553783174,0.954769205958166,TB2_T3C-08_cw_mp.obj,III
TB1_AP02_EM,III,healthy,674.290123956428,768.819625749516,0.8770459303755,TB1_AP02_EM_mp.obj,III
TB2_T3C-14_FR,III,healthy,810.450138339365,864.647129501247,0.93731894860607,TB2_T3C-14_FR_as.obj,III
TB1_AP68,III,early,886.864762829036,771.607033226144,1.14937361200687,TB1_AP68_mp.obj,ed
TB3_TC06,III,early,1219.69623038549,1239.79980898372,0.983784818764643,TB3_TC06_mp.obj,ed
TB3_TC03,III,early,1310.50847727309,1221.3825398635,1.07297135377385,TB3_TC03_mp.obj,ed
TB1_IMMcell08_CM_RKJ,IV,healthy,191.42590033966,573.888149547985,0.333559597789977,TB1_IMMcell08_CM_RKJ_fx.obj,IV
TB1_IMMCell09_CM_ry,IV,healthy,350.128016549801,456.234985126272,0.767429127454785,TB1_IMMCell09_CM_ry_fx.obj,IV
TB2 Nucleus_26_cw_IV-ry,IV,healthy,550.139070832571,722.643310010165,0.761287156764563,TB2 Nucleus_26_cw_IV-ry_mp.obj,IV
TB2_T4C-01_cw,IV,healthy,742.602752782496,995.392948131961,0.746039796822076,TB2_T4C-01_cw_mp.obj,IV
TB2_TCdying01,x,late,403.5954784227,504.708397209794,0.79966071627482,TB2_TCdying01_mp.obj,ld
TB3_TC01,x,late,446.929863190465,409.98355135063,1.09011657106272,TB3_TC01_mp.obj,ld
TB2_TCdying02,x,late,457.082178615321,518.541204878794,0.881477063567516,TB2_TCdying02_mp.obj,ld
